"selected_quarter","fast_ma","ma_diff","signal_estimator","window_regime","treshold_regime","volat_param","m_exit","m_diff","instrument_name","group_data","p_val","tr_cost","stats_mm","stats_mr","stats_fl"
"2022_Q1",62,43,"median",97,0.09747,26,1.30338,1.9084,"SP",1,50,12,18.7378083571455,-11.2137206474234,18.5424832331109
"2022_Q3",62,43,"median",97,0.09747,26,1.30338,1.9084,"SP",1,50,12,2.39401975250716,-7.04139738434501,2.39401975250716
"2022_Q4",62,43,"median",97,0.09747,26,1.30338,1.9084,"SP",1,50,12,-7.46596236478591,24.452442038767,-7.48470506705609
"2023_Q2",62,43,"median",97,0.09747,26,1.30338,1.9084,"SP",1,50,12,-2.09884084508538,-1.7726290953603,-5.26355170888727
"2023_Q4",62,43,"median",97,0.09747,26,1.30338,1.9084,"SP",1,50,12,-1.10151301699742,-1.03162729261148,-1.50602595715556
"2024_Q1",62,43,"median",97,0.09747,26,1.30338,1.9084,"SP",1,50,12,-1.03372634177538,-0.484743454296807,-1.07708537853916
"2024_Q2",62,43,"median",97,0.09747,26,1.30338,1.9084,"SP",1,50,12,0,-2.01767750953505,0
"2022_Q1",83,80,"mean",72,0.3322,96,2.06007,1.23817,"SP",1,50,12,0,0,0
"2022_Q3",83,80,"mean",72,0.3322,96,2.06007,1.23817,"SP",1,50,12,0.0556379032770202,-1.33961546119825,0.0556379032770202
"2022_Q4",83,80,"mean",72,0.3322,96,2.06007,1.23817,"SP",1,50,12,0,0,0
"2023_Q2",83,80,"mean",72,0.3322,96,2.06007,1.23817,"SP",1,50,12,6.26546795616095,-4.84123418131404,0.32761918199173
"2023_Q4",83,80,"mean",72,0.3322,96,2.06007,1.23817,"SP",1,50,12,7.41670610374794,-2.25201192939535,11.1964289565806
"2024_Q1",83,80,"mean",72,0.3322,96,2.06007,1.23817,"SP",1,50,12,-1.97788322604616,19.8007345853078,-2.09201144098009
"2024_Q2",83,80,"mean",72,0.3322,96,2.06007,1.23817,"SP",1,50,12,0,0,0
"2022_Q1",44,100,"mean",50,0.22043,45,0.79145,0.45203,"SP",1,50,12,13.9408657123179,-11.3041709654971,13.7821216622462
"2022_Q3",44,100,"mean",50,0.22043,45,0.79145,0.45203,"SP",1,50,12,1.0071109427437,-7.5993018968938,0.962442012274062
"2022_Q4",44,100,"mean",50,0.22043,45,0.79145,0.45203,"SP",1,50,12,-5.59143645433707,1.03357024651555,-5.64132924115721
"2023_Q2",44,100,"mean",50,0.22043,45,0.79145,0.45203,"SP",1,50,12,-1.957762107348,-1.84010360332635,-7.30498471511054
"2023_Q4",44,100,"mean",50,0.22043,45,0.79145,0.45203,"SP",1,50,12,-1.88826211493554,-2.10868302611858,-2.09406693859525
"2024_Q1",44,100,"mean",50,0.22043,45,0.79145,0.45203,"SP",1,50,12,-2.66545007085148,-1.1801658329036,-2.93177648885878
"2024_Q2",44,100,"mean",50,0.22043,45,0.79145,0.45203,"SP",1,50,12,24.0618007185804,-9.67353337669825,22.8190983058132
"2022_Q1",23,89,"mean",81,0.01246,62,1.33695,0.2751,"SP",1,50,12,6.94539941999722,-10.5140011446319,6.80379714053848
"2022_Q3",23,89,"mean",81,0.01246,62,1.33695,0.2751,"SP",1,50,12,0,-3.45830812254615,0
"2022_Q4",23,89,"mean",81,0.01246,62,1.33695,0.2751,"SP",1,50,12,25.1608118581207,-10.0330962709476,24.9208229952647
"2023_Q2",23,89,"mean",81,0.01246,62,1.33695,0.2751,"SP",1,50,12,-2.99478810932712,-1.7074583886314,-3.54721188620629
"2023_Q4",23,89,"mean",81,0.01246,62,1.33695,0.2751,"SP",1,50,12,-6.21445498969284,0.821269010108037,-6.25701801819704
"2024_Q1",23,89,"mean",81,0.01246,62,1.33695,0.2751,"SP",1,50,12,0.193647955882659,-5.28328856551278,0
"2024_Q2",23,89,"mean",81,0.01246,62,1.33695,0.2751,"SP",1,50,12,13.1972863275215,-8.30494275463443,12.524553892374
"2022_Q1",28,91,"mean",90,0.08826,73,1.4676,0.81747,"SP",1,50,12,-1.50209573209537,0.00983830502818215,-1.57321624578182
"2022_Q3",28,91,"mean",90,0.08826,73,1.4676,0.81747,"SP",1,50,12,20.4373712874741,-7.55280720594907,19.6721711696631
"2022_Q4",28,91,"mean",90,0.08826,73,1.4676,0.81747,"SP",1,50,12,34.2152156996056,-10.0469640722294,32.4595753314115
"2023_Q2",28,91,"mean",90,0.08826,73,1.4676,0.81747,"SP",1,50,12,0,-3.16479537149688,-0.66951141045281
"2023_Q4",28,91,"mean",90,0.08826,73,1.4676,0.81747,"SP",1,50,12,-5.02413952384652,1.29265760059347,-5.20998220821703
"2024_Q1",28,91,"mean",90,0.08826,73,1.4676,0.81747,"SP",1,50,12,0,0,0
"2024_Q2",28,91,"mean",90,0.08826,73,1.4676,0.81747,"SP",1,50,12,20.261665033782,-7.14152404424787,19.6292186221051
"2022_Q1",11,88,"mean",90,0.12183,70,1.4803,0.91577,"SP",1,50,12,-4.08822215280623,8.70889894892173,-4.15146347985464
"2022_Q3",11,88,"mean",90,0.12183,70,1.4803,0.91577,"SP",1,50,12,-0.441611659035579,0,-0.494706214423706
"2022_Q4",11,88,"mean",90,0.12183,70,1.4803,0.91577,"SP",1,50,12,5.77862841508166,-5.84253777303318,5.53166405313423
"2023_Q2",11,88,"mean",90,0.12183,70,1.4803,0.91577,"SP",1,50,12,0,-4.75051132390665,-0.789859325725074
"2023_Q4",11,88,"mean",90,0.12183,70,1.4803,0.91577,"SP",1,50,12,0,-1.03716772340364,0
"2024_Q1",11,88,"mean",90,0.12183,70,1.4803,0.91577,"SP",1,50,12,0,-0.702916138597705,0
"2024_Q2",11,88,"mean",90,0.12183,70,1.4803,0.91577,"SP",1,50,12,8.61629364659161,-6.18277177000722,8.09455160521529
"2022_Q1",50,60,"mean",74,0.29099,8,1.15884,0.76938,"SP",1,50,12,39.3004076227545,-12.8911126576707,39.16632777412
"2022_Q3",50,60,"mean",74,0.29099,8,1.15884,0.76938,"SP",1,50,12,-1.07953699148901,-5.18123395314271,-1.15261765668799
"2022_Q4",50,60,"mean",74,0.29099,8,1.15884,0.76938,"SP",1,50,12,20.4969618230312,-10.4660465056838,19.9762758254154
"2023_Q2",50,60,"mean",74,0.29099,8,1.15884,0.76938,"SP",1,50,12,0,-6.56260514352573,-3.47826739328025
"2023_Q4",50,60,"mean",74,0.29099,8,1.15884,0.76938,"SP",1,50,12,-1.02988629169348,-4.50692840058329,-1.21575902466739
"2024_Q1",50,60,"mean",74,0.29099,8,1.15884,0.76938,"SP",1,50,12,-0.278271751287593,-4.52419496748177,-0.415816375500356
"2024_Q2",50,60,"mean",74,0.29099,8,1.15884,0.76938,"SP",1,50,12,4.16461010712619,-8.13341395689544,3.47999915316414
"2022_Q1",21,73,"mean",74,0.40845,10,1.65705,0.76394,"SP",1,50,12,14.9166249222849,-10.1763883417161,14.7193737457954
"2022_Q3",21,73,"mean",74,0.40845,10,1.65705,0.76394,"SP",1,50,12,-1.17721090797771,-2.27809848978171,-1.24060496316119
"2022_Q4",21,73,"mean",74,0.40845,10,1.65705,0.76394,"SP",1,50,12,4.63312402778906,-7.51436817384617,4.47510070476884
"2023_Q2",21,73,"mean",74,0.40845,10,1.65705,0.76394,"SP",1,50,12,0,-6.93212526549835,-2.46131937886649
"2023_Q4",21,73,"mean",74,0.40845,10,1.65705,0.76394,"SP",1,50,12,0.678208463237941,-6.86806944363359,0.460355257831696
"2024_Q1",21,73,"mean",74,0.40845,10,1.65705,0.76394,"SP",1,50,12,-1.734597164841,-6.07973441907031,-2.03610086999406
"2024_Q2",21,73,"mean",74,0.40845,10,1.65705,0.76394,"SP",1,50,12,0,-5.8709364586161,-0.0234746383686008
"2022_Q1",36,59,"median",74,0.00018,55,0.81946,0.33095,"SP",1,50,12,25.4873100708399,-12.6933729761572,25.4873100708399
"2022_Q3",36,59,"median",74,0.00018,55,0.81946,0.33095,"SP",1,50,12,0.710440341244881,-6.41071600394735,0.673511276070913
"2022_Q4",36,59,"median",74,0.00018,55,0.81946,0.33095,"SP",1,50,12,16.83987690445,-9.91754231219171,16.83987690445
"2023_Q2",36,59,"median",74,0.00018,55,0.81946,0.33095,"SP",1,50,12,0,-4.80791981178484,-0.640282413153042
"2023_Q4",36,59,"median",74,0.00018,55,0.81946,0.33095,"SP",1,50,12,-1.67927832410657,-3.2735737262234,-1.76682969331263
"2024_Q1",36,59,"median",74,0.00018,55,0.81946,0.33095,"SP",1,50,12,0.211287784690128,-5.68922497961076,0.0830132016307175
"2024_Q2",36,59,"median",74,0.00018,55,0.81946,0.33095,"SP",1,50,12,14.8636083464396,-8.88692651871762,13.9050006467393
"2022_Q1",37,63,"median",91,0.00577,58,2.38282,0.50065,"SP",1,50,12,0,0,0
"2022_Q3",37,63,"median",91,0.00577,58,2.38282,0.50065,"SP",1,50,12,0,0,0
"2022_Q4",37,63,"median",91,0.00577,58,2.38282,0.50065,"SP",1,50,12,0,0,0
"2023_Q2",37,63,"median",91,0.00577,58,2.38282,0.50065,"SP",1,50,12,0,0,0
"2023_Q4",37,63,"median",91,0.00577,58,2.38282,0.50065,"SP",1,50,12,0,0,0
"2024_Q1",37,63,"median",91,0.00577,58,2.38282,0.50065,"SP",1,50,12,0,0,0
"2024_Q2",37,63,"median",91,0.00577,58,2.38282,0.50065,"SP",1,50,12,0,0,0
"2022_Q1",22,58,"median",57,0.04804,72,1.22927,0.36982,"SP",1,50,12,70.4668258081252,-12.8095260539878,70.0453057099928
"2022_Q3",22,58,"median",57,0.04804,72,1.22927,0.36982,"SP",1,50,12,8.17876481971933,-10.8499833170801,8.14081389750524
"2022_Q4",22,58,"median",57,0.04804,72,1.22927,0.36982,"SP",1,50,12,8.0572005561195,-8.96771521098067,8.0572005561195
"2023_Q2",22,58,"median",57,0.04804,72,1.22927,0.36982,"SP",1,50,12,-2.12734219613578,-1.70337267670098,-5.01673552526759
"2023_Q4",22,58,"median",57,0.04804,72,1.22927,0.36982,"SP",1,50,12,-3.97808195863232,0,-4.06629308976281
"2024_Q1",22,58,"median",57,0.04804,72,1.22927,0.36982,"SP",1,50,12,0.472167424071744,-4.55241762411186,0.398659584769263
"2024_Q2",22,58,"median",57,0.04804,72,1.22927,0.36982,"SP",1,50,12,40.7994621542286,-10.7672458854915,39.9532661459862
"2022_Q1",24,70,"median",59,0.05665,82,1.23796,0.7566,"SP",1,50,12,25.0970807727448,-8.46816263089483,24.8809751454674
"2022_Q3",24,70,"median",59,0.05665,82,1.23796,0.7566,"SP",1,50,12,16.295070760574,-7.31908062009312,16.295070760574
"2022_Q4",24,70,"median",59,0.05665,82,1.23796,0.7566,"SP",1,50,12,-0.359609376070815,0,-0.359609376070815
