"selected_quarter","fast_ma","ma_diff","signal_estimator","window_regime","treshold_regime","instrument_name","group_data","p_val","tr_cost","stats_mm","stats_mr","stats_fl"
"2022_Q3",35,99,"mean",14,0.14301,"SP",1,50,12,-2.05786637087327,-1.66127586571275,-5.58104025925713
"2022_Q4",35,99,"mean",14,0.14301,"SP",1,50,12,5.77501290952542,-8.3584929856275,-0.0932473977974478
"2023_Q2",35,99,"mean",14,0.14301,"SP",1,50,12,-0.215591748356919,-5.02141358032772,-11.2847969334724
"2023_Q4",35,99,"mean",14,0.14301,"SP",1,50,12,1.16686845143035,-7.37382347416841,-7.95269614069453
"2024_Q1",35,99,"mean",14,0.14301,"SP",1,50,12,-6.99505167079781,0,-11.9566756787031
"2024_Q2",35,99,"mean",14,0.14301,"SP",1,50,12,-0.289591836200312,-5.63668321813504,-7.67240450661171
"2022_Q1",42,74,"mean",32,0.22376,"SP",1,50,12,-1.12846407004816,-4.74538478267911,-1.99209279354878
"2022_Q3",42,74,"mean",32,0.22376,"SP",1,50,12,0.365616441322087,-7.92179682512816,1.32487102611921
"2022_Q4",42,74,"mean",32,0.22376,"SP",1,50,12,30.6406452432925,-11.3433118845401,35.3609407999909
"2023_Q2",42,74,"mean",32,0.22376,"SP",1,50,12,-1.25983429509219,-7.23495498912475,-9.15562715767755
"2023_Q4",42,74,"mean",32,0.22376,"SP",1,50,12,2.85027678588366,-7.82251828575466,1.72028454439387
"2024_Q1",42,74,"mean",32,0.22376,"SP",1,50,12,-0.000333115171508728,-5.97084770037222,0
"2024_Q2",42,74,"mean",32,0.22376,"SP",1,50,12,-5.14216616195357,-0.989529875339937,-5.24041243930078
"2022_Q1",63,85,"mean",75,0.18505,"SP",1,50,12,36.8235241255897,-14.1060462878505,36.443735035698
"2022_Q3",63,85,"mean",75,0.18505,"SP",1,50,12,-0.79516243129435,-4.33612857336789,-0.853269226909962
"2022_Q4",63,85,"mean",75,0.18505,"SP",1,50,12,1.29887463850808,-6.05776264903091,1.19902638351292
"2023_Q2",63,85,"mean",75,0.18505,"SP",1,50,12,-2.97274112805948,-2.14173876389916,-5.17043524510238
"2023_Q4",63,85,"mean",75,0.18505,"SP",1,50,12,-2.82737403421322,-3.28076063277118,-3.01853669397683
"2024_Q1",63,85,"mean",75,0.18505,"SP",1,50,12,-0.301410315960932,-4.38691430170633,-0.447402493328603
"2024_Q2",63,85,"mean",75,0.18505,"SP",1,50,12,0.638426867716329,-7.90896649019418,0.44585493573948
"2022_Q1",67,64,"mean",77,0.19668,"SP",1,50,12,93.6073902254063,-14.3502394522196,93.5020063587882
"2022_Q3",67,64,"mean",77,0.19668,"SP",1,50,12,-0.246442655207221,-6.67138274542674,-0.287131032736739
"2022_Q4",67,64,"mean",77,0.19668,"SP",1,50,12,-0.29099410036364,-4.39205499331511,-0.34254062848046
"2023_Q2",67,64,"mean",77,0.19668,"SP",1,50,12,-0.769233736453061,-4.26233986334819,-3.38581038753858
"2023_Q4",67,64,"mean",77,0.19668,"SP",1,50,12,-4.72975941526007,-2.94248808759438,-4.88838667270995
"2024_Q1",67,64,"mean",77,0.19668,"SP",1,50,12,-0.143976778910722,-4.64793597095727,-0.243538050262646
"2024_Q2",67,64,"mean",77,0.19668,"SP",1,50,12,-0.0754510897707058,-7.23880510321347,-0.241609733635872
"2022_Q1",52,62,"mean",4,0.32755,"SP",1,50,12,10.1005899465466,-10.0229890664812,-19.1405435327378
"2022_Q3",52,62,"mean",4,0.32755,"SP",1,50,12,0.910250813871418,-9.72854849485781,-19.0439253753793
"2022_Q4",52,62,"mean",4,0.32755,"SP",1,50,12,7.22894630839685,-8.73762952796855,-17.9949566339352
"2023_Q2",52,62,"mean",4,0.32755,"SP",1,50,12,-1.93144128045403,-6.2712282628628,-16.2891450347113
"2023_Q4",52,62,"mean",4,0.32755,"SP",1,50,12,0.121055507243523,-6.76664932724466,-19.3768302854584
"2024_Q1",52,62,"mean",4,0.32755,"SP",1,50,12,-2.4422518566598,-5.63965958660835,-18.7108494348826
"2024_Q2",52,62,"mean",4,0.32755,"SP",1,50,12,-6.87646030289551,0.00162439259427496,-18.7567642539407
"2022_Q1",65,58,"mean",42,0.49753,"SP",1,50,12,55.3505843868491,-13.2224528946296,61.6930909022854
